CODCLI,CODPROD,EAN,PRODUTO,ESPECIE,PORTE,IDADE,DEPARTAMENTO,DT_VENDA,QT_VENDA
270146,55107,7896273807797,ADITIVO ANTIODOR KELCO PIPICAT CAMPESTRE PARA GATOS 500 G,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,HIGIENE E BELEZA,00:00.0,1
1,266196,7896108808821,ALCON CLUB PAPA PARA FILHOTES PASSAROS 600G,PÁSSAROS,PEQUENO|MÉDIO|GRANDE,FILHOTE,ALIMENTOS,00:00.0,1
1,267094,7896044963486,ALCOOL EM GEL GIOVANNA BABY BLUE 60ML,SEM ESPÉCIE,SEM PORTE,SEM IDADE,HIGIENE E BELEZA,00:00.0,1
19816,267103,7896044956419,ALCOOL EM GEL GIOVANNA BABY CLASSIC 500ML,SEM ESPÉCIE,SEM PORTE,SEM IDADE,HIGIENE E BELEZA,00:00.0,1
1,267103,7896044956419,ALCOOL EM GEL GIOVANNA BABY CLASSIC 500ML,SEM ESPÉCIE,SEM PORTE,SEM IDADE,HIGIENE E BELEZA,00:00.0,1
61516,267092,7896044963509,ALCOOL EM GEL GIOVANNA BABY CLASSIC 70º 60ML,SEM ESPÉCIE,SEM PORTE,SEM IDADE,HIGIENE E BELEZA,00:00.0,2
17166,267092,7896044963509,ALCOOL EM GEL GIOVANNA BABY CLASSIC 70º 60ML,SEM ESPÉCIE,SEM PORTE,SEM IDADE,HIGIENE E BELEZA,00:00.0,1
1,260858,260858,AMINODOG 60G,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,FARMÁCIA,00:00.0,1
1,260390,7896006212805,ANTIBACTERIANO AGENER UNIÃO DOXITRAT 200 MG - 24 COMPRIMIDOS - PARA CÃES E GATOS,CÃES|GATOS,GRANDE,FILHOTE|ADULTO|SÊNIOR,FARMÁCIA,00:00.0,3
61359,2177,7897757711043,ANTIBACTERIANO ORGANNACT PRATA SPRAY 500 ML,CÃES|GATOS|RÉPTEIS|PÁSSAROS|ROEDORES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,FARMÁCIA,00:00.0,4
18381,261954,7908320400261,RAÇÃO SECA HERCOSUL BIOFRESH PARA CÃES FILHOTES RAÇAS GRANDES E GIGANTES 15 KG,CÃES,GRANDE|GIGANTE,FILHOTE,ALIMENTOS,00:00.0,1
15955,6940,7898923563817,RAÇÃO SECA DOG EXCELLENCE PARA CÃES SÊNIOR RAÇAS MÉDIAS E GRANDES 15 KG,CÃES,MÉDIO|GRANDE,SÊNIOR,ALIMENTOS,00:00.0,1
1,1057,7897757711326,ANTIBACTERIANO SPRAY ORGANNACT PRATA 200 ML,CÃES|GATOS|RÉPTEIS|PÁSSAROS|ROEDORES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,FARMÁCIA,00:00.0,1
17697,10016,7896006202745,ANTIBIÓTICO AGENER UNIÃO AGEMOXI CL 50 MG - 10 COMPRIMIDOS - PARA CÃES E GATOS,CÃES|GATOS,PEQUENO|MÉDIO,FILHOTE|ADULTO|SÊNIOR,FARMÁCIA,00:00.0,1
63719,14679,7896006212768,ANTIBIÓTICO AGENER UNIÃO DOXITRAT 80 MG - 24 COMPRIMIDOS - PARA CÃES E GATOS,CÃES|GATOS,PEQUENO|MÉDIO,FILHOTE|ADULTO|SÊNIOR,FARMÁCIA,00:00.0,1
18782,2333,7891106005999,ANTIBIÓTICO BAYER BAYTRIL FLAVOUR ENROFLOXACINO 15 MG - 10 COMPRIMIDOS - PARA CÃES E GATOS,CÃES|GATOS,PEQUENO|MÉDIO,FILHOTE|ADULTO|SÊNIOR,FARMÁCIA,00:00.0,1
61516,2333,7891106005999,ANTIBIÓTICO BAYER BAYTRIL FLAVOUR ENROFLOXACINO 15 MG - 10 COMPRIMIDOS - PARA CÃES E GATOS,CÃES|GATOS,PEQUENO|MÉDIO,FILHOTE|ADULTO|SÊNIOR,FARMÁCIA,00:00.0,1
306403,53831,7898146300138,ANTIBIÓTICO CEPAV GIARDICID 500 MG - 5 COMPRIMIDOS - PARA CÃES E GATOS,CÃES|GATOS,GRANDE,FILHOTE|ADULTO|SÊNIOR,FARMÁCIA,00:00.0,1
17916,259160,7898043431508,ANTIBIÓTICO CEVA ENROPET 150 MG - 10 COMPRIMIDOS - PARA CÃES E GATOS,CÃES|GATOS,MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,FARMÁCIA,00:00.0,1
62661,259161,7898043431492,ANTIBIÓTICO CEVA ENROPET 50 MG - 10 COMPRIMIDOS - PARA CÃES E GATOS,CÃES|GATOS,PEQUENO|MÉDIO,FILHOTE|ADULTO|SÊNIOR,FARMÁCIA,00:00.0,1
306240,259161,7898043431492,ANTIBIÓTICO CEVA ENROPET 50 MG - 10 COMPRIMIDOS - PARA CÃES E GATOS,CÃES|GATOS,PEQUENO|MÉDIO,FILHOTE|ADULTO|SÊNIOR,FARMÁCIA,00:00.0,1
1,1512,7898043433601,"ANTIBIÓTICO CEVA MARBOPET 27,5 MG - 10 COMPRIMIDOS - PARA CÃES E GATOS",CÃES|GATOS,PEQUENO|MÉDIO,FILHOTE|ADULTO|SÊNIOR,FARMÁCIA,00:00.0,1
32852,1886,7898043433618,"ANTIBIÓTICO CEVA MARBOPET 82,5 MG - 10 COMPRIMIDOS - PARA CÃES E GATOS",CÃES|GATOS,MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,FARMÁCIA,00:00.0,1
15918,9844,7898019865702,ANTIBIÓTICO OUROFINO CELESPORIN 150 MG - 12 COMPRIMIDOS,CÃES,MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,FARMÁCIA,00:00.0,1
17993,261999,7896210540466,ANTIBIÓTICO PROVETS DOXIPRO DOXICLINA 200 MG - 12 COMPRIMIDOS - PARA CÃES,CÃES,MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,FARMÁCIA,00:00.0,2
317567,1866,7898393750281,ANTIBIÓTICO SYNTEC DOXITEC DOXICLINA 100 G - 16 COMPRIMIDOS -  PARA CÃES E GATOS,CÃES|GATOS,MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,FARMÁCIA,00:00.0,2
56261,1866,7898393750281,ANTIBIÓTICO SYNTEC DOXITEC DOXICLINA 100 G - 16 COMPRIMIDOS -  PARA CÃES E GATOS,CÃES|GATOS,MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,FARMÁCIA,00:00.0,5
1,2256,7898393750298,ANTIBIÓTICO SYNTEC DOXITEC DOXICLINA 50 G - 16 COMPRIMIDOS -  PARA CÃES E GATOS,CÃES|GATOS,PEQUENO|MÉDIO,FILHOTE|ADULTO|SÊNIOR,FARMÁCIA,00:00.0,1
22041,2256,7898393750298,ANTIBIÓTICO SYNTEC DOXITEC DOXICLINA 50 G - 16 COMPRIMIDOS -  PARA CÃES E GATOS,CÃES|GATOS,PEQUENO|MÉDIO,FILHOTE|ADULTO|SÊNIOR,FARMÁCIA,00:00.0,1
22041,2256,7898393750298,ANTIBIÓTICO SYNTEC DOXITEC DOXICLINA 50 G - 16 COMPRIMIDOS -  PARA CÃES E GATOS,CÃES|GATOS,PEQUENO|MÉDIO,FILHOTE|ADULTO|SÊNIOR,FARMÁCIA,00:00.0,1
317766,261453,7898006190503,ANTIBIÓTICO UCBVET INFECTRAT ENROFLOXACINA 50 MG- 10 COMPRIMIDOS - PARA CÃES,CÃES,PEQUENO|MÉDIO,FILHOTE|ADULTO|SÊNIOR,FARMÁCIA,00:00.0,1
1,2546,7898019864309,ANTI-FLAMATÓRIO ANTIFUNGICO E ANTIBACTERIANO OUROFINO DERMOTRAT CREME 20 G,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,FARMÁCIA,00:00.0,1
