CODCLI,ESPECIE,PORTE,IDADE
302501,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE,ADULTO|SÊNIOR
30491,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR
270023,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR
57905,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR
24659,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR
266943,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR
57439,CÃES,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR
305985,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR
327919,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR
21970,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR
61775,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR
295300,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR
21091,CÃES,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR
14051,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR
319011,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR
25050,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR
328785,CÃES,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR
266761,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR
13699,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR
14136,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR
13550,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR
62983,CÃES,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR
326507,CÃES,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR
307757,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR
