CODCLI,ESPECIE,PORTE,IDADE,REPRESENTACAO
64981,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.41946%
503,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO,0.26849%
17697,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.23381%
25559,CÃES,PEQUENO,FILHOTE|ADULTO|SÊNIOR,0.18163%
11841,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.17482%
57754,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO,0.16723%
20790,GATOS,PEQUENO|MÉDIO|GRANDE,ADULTO,0.16274%
11672,CÃES,PEQUENO|MÉDIO|GRANDE,FILHOTE,0.09739%
28468,CÃES,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.08284%
13274,CÃES,PEQUENO|MÉDIO|GRANDE,ADULTO,0.07665%
64955,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.05807%
314116,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE,0.05745%
309313,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,SÊNIOR,0.05419%
58493,CÃES,PEQUENO,FILHOTE,0.04661%
317776,PÁSSAROS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.03794%
22120,CÃES,PEQUENO,ADULTO,0.03283%
3460,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,SÊNIOR,0.03081%
323792,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE,0.02911%
307915,CÃES,PEQUENO|MÉDIO|GRANDE,SÊNIOR,0.02586%
319791,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE,0.02369%
2308,CÃES,MÉDIO|GRANDE,SÊNIOR,0.02354%
64017,CÃES,MÉDIO,FILHOTE|ADULTO|SÊNIOR,0.02245%
19839,CÃES,PEQUENO|MÉDIO|GRANDE,ADULTO|SÊNIOR,0.02230%
331,CÃES,MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.02168%
15728,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.02059%
310571,CÃES,GRANDE,FILHOTE|ADULTO|SÊNIOR,0.01936%
268054,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO|SÊNIOR,0.01889%
203,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE,ADULTO|SÊNIOR,0.01734%
60032,CÃES,PEQUENO|MÉDIO,ADULTO,0.01610%
24961,CÃES,GRANDE,FILHOTE,0.01595%
21128,ROEDORES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01378%
65263,PÁSSAROS,PEQUENO|MÉDIO,FILHOTE|ADULTO|SÊNIOR,0.01347%
33377,CÃES,MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01301%
15570,CÃES,GRANDE,ADULTO,0.01270%
313616,RÉPTEIS,PEQUENO|MÉDIO,FILHOTE|ADULTO|SÊNIOR,0.01254%
324129,CÃES,PEQUENO,SÊNIOR,0.01192%
18390,CÃES,PEQUENO|MÉDIO,FILHOTE|ADULTO|SÊNIOR,0.01099%
33895,CÃES,MÉDIO|GRANDE,ADULTO,0.01084%
302409,CÃES,MÉDIO,FILHOTE,0.01022%
15733,CÃES,MÉDIO,ADULTO,0.00867%
324810,ROEDORES,PEQUENO|MÉDIO,FILHOTE|ADULTO|SÊNIOR,0.00836%
15970,CÃES|GATOS,PEQUENO,FILHOTE|ADULTO|SÊNIOR,0.00774%
314193,CÃES|GATOS|ROEDORES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00712%
58079,GATOS,PEQUENO,FILHOTE|ADULTO|SÊNIOR,0.00697%
320236,CÃES,GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00681%
318666,ROEDORES,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.00681%
18579,GATOS,PEQUENO|MÉDIO|GRANDE,ADULTO|SÊNIOR,0.00650%
307581,PÁSSAROS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00588%
13238,PEIXES,PEQUENO|MÉDIO,FILHOTE|ADULTO|SÊNIOR,0.00573%
324803,CÃES,SEM PORTE,FILHOTE|ADULTO|SÊNIOR,0.00557%
62680,CÃES|GATOS,PEQUENO|MÉDIO,FILHOTE|ADULTO|SÊNIOR,0.00480%
269910,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO|SÊNIOR,0.00480%
56229,GATOS,PEQUENO|MÉDIO|GRANDE,SÊNIOR,0.00465%
331421,SEM ESPÉCIE,SEM PORTE,SEM IDADE,0.00434%
267217,CÃES|GATOS,MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00434%
3018,CÃES,GRANDE,SÊNIOR,0.00418%
328604,CÃES|GATOS,PEQUENO,ADULTO,0.00403%
331560,CÃES,GRANDE|GIGANTE,FILHOTE,0.00356%
33288,SEM ESPÉCIE,SEM PORTE,FILHOTE|ADULTO|SÊNIOR,0.00341%
329114,GATOS,PEQUENO,ADULTO,0.00341%
317886,CÃES,PEQUENO,ADULTO|SÊNIOR,0.00341%
321086,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO|SÊNIOR,0.00325%
63771,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE,ADULTO,0.00279%
14451,CÃES,MÉDIO|GRANDE|GIGANTE,ADULTO,0.00279%
327154,CÃES,GRANDE|GIGANTE,ADULTO,0.00248%
57487,CÃES,MÉDIO|GRANDE,FILHOTE,0.00248%
59574,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE,SÊNIOR,0.00248%
20441,CÃES,SEM PORTE,ADULTO,0.00248%
324902,CÃES,SEM PORTE,SEM IDADE,0.00248%
324996,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE,0.00232%
16584,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO,0.00232%
324226,CÃES,PEQUENO|MÉDIO,FILHOTE,0.00217%
57504,CÃES|GATOS,SEM PORTE,SEM IDADE,0.00217%
24519,PEIXES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00201%
315875,CÃES|GATOS|PÁSSAROS,PEQUENO|MÉDIO|GRANDE,ADULTO|SÊNIOR,0.00201%
17165,CÃES|GATOS,GRANDE,FILHOTE|ADULTO|SÊNIOR,0.00186%
314398,CÃES,PEQUENO|MÉDIO|GRANDE,SEM IDADE,0.00186%
309303,CÃES|GATOS,MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.00186%
18032,CÃES|GATOS,MÉDIO|GRANDE,ADULTO,0.00186%
