CODCLI,ESPECIE,PORTE,IDADE,REPRESENTACAO
302501,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE,ADULTO|SÊNIOR,0.00077%
30491,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01022%
270023,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01006%
57905,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00588%
24659,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.00031%
266943,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00557%
57439,CÃES,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.00836%
305985,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00898%
327919,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00248%
21970,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.02539%
61775,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00356%
295300,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00635%
21091,CÃES,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.01192%
14051,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01301%
319011,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00557%
25050,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.02803%
328785,CÃES,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.00232%
266761,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00077%
13699,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01130%
14136,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.00186%
13550,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00325%
62983,CÃES,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.00232%
326507,CÃES,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.01053%
307757,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01130%
21729,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01719%
267245,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO,0.02028%
317746,CÃES,PEQUENO,FILHOTE|ADULTO|SÊNIOR,0.00170%
16257,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00031%
317603,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01440%
17879,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.15531%
3173,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00975%
306348,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00449%
329907,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00310%
63058,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00356%
309793,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01068%
314262,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00898%
61518,CÃES,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.01316%
24912,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00495%
318784,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00046%
64119,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00015%
307216,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00124%
318292,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00372%
319615,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00232%
307429,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00526%
320120,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01053%
319167,CÃES,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.00588%
13953,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO,0.01084%
13855,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00155%
308802,CÃES,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.00387%
310093,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00790%
14007,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01734%
64938,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01130%
30498,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00310%
18662,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00573%
312144,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01595%
58156,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.00356%
325509,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00805%
326176,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00480%
309781,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01208%
33814,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00015%
312888,CÃES,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.00619%
307717,CÃES,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.01734%
325967,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00914%
328726,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00573%
326471,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00046%
13952,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.02973%
331620,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00046%
309802,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00418%
153,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.04305%
271395,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00449%
14619,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01626%
24816,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00356%
65072,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00418%
17166,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01502%
305602,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.03329%
270331,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00542%
305657,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00341%
309591,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00991%
57593,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00960%
317854,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00217%
64396,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00635%
4155,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.00573%
302345,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00046%
321033,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00077%
271643,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.02152%
266686,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01208%
306051,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00511%
270785,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.02803%
317869,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.08222%
319578,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01672%
323537,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01502%
323625,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00790%
61557,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.02385%
14566,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.02323%
320269,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00077%
266942,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00821%
13486,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.07665%
318773,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00263%
308061,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01641%
325113,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01037%
17189,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.03809%
58421,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.12047%
17296,CÃES|GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00712%
307947,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01425%
308750,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.02834%
305735,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.00666%
57407,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00294%
314892,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.03066%
324509,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00108%
324722,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00248%
316515,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00975%
17555,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01750%
305890,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00883%
328922,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00588%
301354,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01254%
320233,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.02601%
324439,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01456%
270146,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00991%
64102,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO,0.00325%
317543,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01672%
315378,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO,0.05280%
312539,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00465%
13693,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.01099%
63759,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00062%
319044,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01099%
12505,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01579%
309409,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.02679%
319616,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00434%
6465,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00495%
319291,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01146%
13487,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01502%
32419,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.06627%
308268,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00232%
317503,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00991%
319322,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01595%
58089,CÃES,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.05466%
326476,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00077%
318356,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01502%
317793,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.03902%
63870,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01301%
267424,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01425%
62086,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00836%
307573,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.05125%
17484,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO,0.02803%
327178,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00774%
313050,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00325%
324473,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01564%
26020,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO,0.08238%
308941,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.09600%
325540,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.01006%
267934,GATOS,PEQUENO|MÉDIO|GRANDE,ADULTO,0.02493%
308170,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.00991%
328587,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.00031%
4057,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.15159%
324890,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00403%
316432,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00294%
16400,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01270%
25870,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.03670%
61620,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00139%
18558,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.01378%
33045,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.00186%
13843,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.00821%
16410,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.01347%
14333,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO,0.06163%
20328,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01456%
332796,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00155%
301453,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00248%
306017,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00077%
326086,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01130%
332989,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00294%
330558,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00867%
332762,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00356%
16804,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.03608%
25094,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00945%
309063,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00155%
57916,CÃES,PEQUENO|MÉDIO|GRANDE|GIGANTE,ADULTO,0.00929%
295164,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00155%
318705,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.00093%
326308,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.01053%
2808,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00201%
333644,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.00248%
315454,GATOS,PEQUENO|MÉDIO|GRANDE,FILHOTE|ADULTO|SÊNIOR,0.01115%
19300,GATOS,PEQUENO|MÉDIO|GRANDE|GIGANTE,FILHOTE|ADULTO|SÊNIOR,0.02988%
