CODCLI,ESPECIE,PORTE,IDADE,REPRESENTACAO
15570,CAES,GRANDE,ADULTO,0.01270%
17441,CAES,GRANDE,ADULTO,0.01208%
20581,CAES,GRANDE,ADULTO,0.01084%
12287,CAES,GRANDE,ADULTO,0.01022%
318963,CAES,GRANDE,ADULTO,0.00975%
317790,CAES,GRANDE,ADULTO,0.00929%
13491,CAES,GRANDE,ADULTO,0.00929%
269650,CAES,GRANDE,ADULTO,0.00805%
326112,CAES,GRANDE,ADULTO,0.00015%
334396,CAES,GRANDE,ADULTO,0.00015%
331186,CAES,GRANDE,ADULTO|SENIOR,0.00155%
310800,CAES,GRANDE,ADULTO|SENIOR,0.00062%
319727,CAES,GRANDE,ADULTO|SENIOR,0.00062%
318998,CAES,GRANDE,ADULTO|SENIOR,0.00031%
269647,CAES,GRANDE,ADULTO|SENIOR,0.00031%
33002,CAES,GRANDE,ADULTO|SENIOR,0.00031%
55575,CAES,GRANDE,ADULTO|SENIOR,0.00031%
333418,CAES,GRANDE,ADULTO|SENIOR,0.00031%
62397,CAES,GRANDE,ADULTO|SENIOR,0.00031%
326842,CAES,GRANDE,ADULTO|SENIOR,0.00031%
24961,CAES,GRANDE,FILHOTE,0.01595%
321103,CAES,GRANDE,FILHOTE,0.00697%
309414,CAES,GRANDE,FILHOTE,0.00697%
320479,CAES,GRANDE,FILHOTE,0.00480%
266944,CAES,GRANDE,FILHOTE,0.00372%
318290,CAES,GRANDE,FILHOTE,0.00372%
328700,CAES,GRANDE,FILHOTE,0.00356%
329937,CAES,GRANDE,FILHOTE,0.00356%
323635,CAES,GRANDE,FILHOTE,0.00015%
333434,CAES,GRANDE,FILHOTE,0.00015%
310571,CAES,GRANDE,FILHOTE|ADULTO|SENIOR,0.01936%
4223,CAES,GRANDE,FILHOTE|ADULTO|SENIOR,0.01099%
306758,CAES,GRANDE,FILHOTE|ADULTO|SENIOR,0.00945%
56131,CAES,GRANDE,FILHOTE|ADULTO|SENIOR,0.00914%
