CODCLI,REPRESENTACAO
64981,0.41946%
63043,0.30658%
503,0.26849%
17697,0.23381%
25559,0.18163%
11841,0.17482%
57754,0.16723%
20790,0.16274%
313506,0.16103%
17879,0.15531%
25276,0.15469%
62429,0.15174%
4057,0.15159%
305342,0.14152%
267689,0.13967%
317788,0.12310%
58421,0.12047%
7175,0.11783%
18811,0.11536%
320106,0.11009%
22305,0.10622%
11672,0.09739%
3818,0.09678%
308941,0.09600%
57630,0.09430%
13618,0.08965%
268488,0.08903%
318314,0.08377%
18602,0.08315%
69,0.08284%
28468,0.08284%
26020,0.08238%
317869,0.08222%
58449,0.08083%
17756,0.08036%
267298,0.07758%
18231,0.07680%
13486,0.07665%
13274,0.07665%
13555,0.07665%
2977,0.07603%
308453,0.07572%
18664,0.07494%
2975,0.07417%
63187,0.07401%
16176,0.07339%
12076,0.06983%
33431,0.06828%
33242,0.06751%
32419,0.06627%
267394,0.06612%
13760,0.06534%
62325,0.06503%
268066,0.06488%
266505,0.06472%
20021,0.06379%
33766,0.06225%
15694,0.06209%
14333,0.06163%
15956,0.06163%
308593,0.06147%
308231,0.06132%
17747,0.06023%
16861,0.05961%
33349,0.05946%
18547,0.05946%
15951,0.05930%
329586,0.05930%
18889,0.05915%
16348,0.05884%
18362,0.05868%
64955,0.05807%
32855,0.05791%
309224,0.05776%
3038,0.05745%
314116,0.05745%
33140,0.05729%
321302,0.05698%
305482,0.05683%
22153,0.05652%
270048,0.05652%
318836,0.05621%
308824,0.05605%
17045,0.05590%
14247,0.05543%
3004,0.05528%
303293,0.05512%
6894,0.05512%
319201,0.05481%
58089,0.05466%
317876,0.05466%
117,0.05450%
2605,0.05450%
309313,0.05419%
61845,0.05404%
133,0.05373%
65082,0.05357%
13614,0.05357%
317478,0.05342%
19193,0.05342%
315378,0.05280%
13360,0.05265%
16550,0.05249%
17356,0.05203%
58044,0.05203%
63605,0.05187%
16684,0.05172%
20272,0.05172%
57929,0.05172%
270090,0.05156%
3623,0.05141%
307573,0.05125%
18620,0.05110%
28703,0.05110%
57569,0.05079%
267365,0.05063%
13943,0.05032%
32896,0.05032%
3118,0.05001%
323619,0.04970%
24582,0.04970%
18236,0.04970%
57603,0.04955%
314214,0.04939%
